,time,type,position,entry,sl,tp,exit_price,exit_time,result,rr_ratio,pnl,pnl_pips,lot_size,atr,balance
10,2024-08-28 08:50:00,SWEEP_bearish,sell,2506.38,2506.58,2505.98,2506.58,2024-08-28 08:55:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.686000000000028,9800.000000000182
11,2024-08-28 13:30:00,SWEEP_bearish,sell,2507.09,2507.29,2506.69,2506.69,2024-08-28 13:35:00,win,2.0,400.000000000091,0.40000000000009095,0.01,1.2066666666666304,10400.000000000091
12,2024-08-28 13:40:00,SWEEP_bearish,sell,2505.24,2505.4399999999996,2504.8399999999997,2504.8399999999997,2024-08-28 13:45:00,win,2.0,400.000000000091,0.40000000000009095,0.01,1.2686666666666193,10400.000000000091
13,2024-08-28 14:45:00,SWEEP_bearish,sell,2503.15,2503.35,2502.75,2503.35,2024-08-28 14:50:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.8406666666666145,9800.000000000182
14,2024-08-28 15:20:00,SWEEP_bearish,sell,2499.11,2499.31,2498.71,2499.31,2024-08-28 15:25:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.9026666666666339,9800.000000000182
15,2024-08-28 15:35:00,SWEEP_bearish,sell,2494.97,2495.1699999999996,2494.5699999999997,2495.1699999999996,2024-08-28 15:40:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.055999999999979,9800.000000000182
0,2024-08-28 15:35:00,FVG_bullish,buy,2494.97,2494.77,2495.37,2495.37,2024-08-28 15:40:00,win,2.0,400.000000000091,0.40000000000009095,0.01,2.055999999999979,10400.000000000091
16,2024-08-29 08:55:00,SWEEP_bullish,buy,2518.64,2518.44,2519.04,2518.44,2024-08-29 09:00:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.4220000000001165,9800.000000000182
17,2024-08-29 09:20:00,SWEEP_bullish,buy,2520.33,2520.13,2520.73,2520.13,2024-08-29 09:25:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.3673333333334388,9800.000000000182
18,2024-08-29 10:50:00,SWEEP_bearish,sell,2516.91,2517.1099999999997,2516.5099999999998,2517.1099999999997,2024-08-29 10:55:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.391333333333326,9800.000000000182
19,2024-08-29 15:25:00,SWEEP_bearish,sell,2516.0,2516.2,2515.6,2516.2,2024-08-29 15:30:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.5273333333332932,9800.000000000182
20,2024-08-29 15:45:00,SWEEP_bearish,sell,2505.31,2505.5099999999998,2504.91,2505.5099999999998,2024-08-29 15:50:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.660666666666718,9800.000000000182
21,2024-08-30 11:35:00,SWEEP_bullish,buy,2524.19,2523.9900000000002,2524.59,2523.9900000000002,2024-08-30 11:40:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.5213333333333443,9800.000000000182
1,2024-08-30 13:20:00,FVG_bullish,buy,2519.81,2519.61,2520.21,2519.61,2024-08-30 13:25:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.4140000000000328,9800.000000000182
22,2024-08-30 13:35:00,SWEEP_bearish,sell,2519.51,2519.71,2519.11,2519.11,2024-08-30 13:40:00,win,2.0,400.000000000091,0.40000000000009095,0.01,1.3866666666666787,10400.000000000091
23,2024-08-30 13:50:00,SWEEP_bearish,sell,2517.27,2517.47,2516.87,2517.47,2024-08-30 13:55:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.4926666666666886,9800.000000000182
24,2024-08-30 14:00:00,SWEEP_bearish,sell,2517.19,2517.39,2516.79,2517.39,2024-08-30 14:05:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.6926666666666885,9800.000000000182
25,2024-08-30 15:25:00,SWEEP_bullish,buy,2523.08,2522.88,2523.48,2522.88,2024-08-30 15:30:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.6346666666666958,9800.000000000182
26,2024-08-30 15:50:00,SWEEP_bearish,sell,2518.92,2519.12,2518.52,2519.12,2024-08-30 15:55:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.4646666666667443,9800.000000000182
27,2024-08-30 16:10:00,SWEEP_bearish,sell,2515.2,2515.3999999999996,2514.7999999999997,2515.3999999999996,2024-08-30 16:15:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.854000000000087,9800.000000000182
28,2024-08-30 16:15:00,SWEEP_bearish,sell,2516.65,2516.85,2516.25,2516.85,2024-08-30 16:20:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,3.084666666666726,9800.000000000182
29,2024-09-02 11:55:00,SWEEP_bullish,buy,2506.08,2505.88,2506.48,2505.88,2024-09-02 12:00:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.9606666666666872,9800.000000000182
30,2024-09-02 14:05:00,SWEEP_bearish,sell,2498.67,2498.87,2498.27,2498.27,2024-09-02 14:10:00,win,2.0,400.000000000091,0.40000000000009095,0.01,1.3399999999999939,10400.000000000091
31,2024-09-02 15:25:00,SWEEP_bullish,buy,2501.28,2501.0800000000004,2501.6800000000003,2501.0800000000004,2024-09-02 15:30:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.1206666666667238,9800.000000000182
32,2024-09-02 15:30:00,SWEEP_bullish,buy,2501.25,2501.05,2501.65,2501.65,2024-09-02 15:35:00,win,2.0,400.000000000091,0.40000000000009095,0.01,1.113333333333382,10400.000000000091
33,2024-09-03 08:40:00,SWEEP_bearish,sell,2494.58,2494.7799999999997,2494.18,2494.7799999999997,2024-09-03 08:45:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,0.9546666666667079,9800.000000000182
34,2024-09-03 08:45:00,SWEEP_bearish,sell,2494.73,2494.93,2494.33,2494.93,2024-09-03 08:50:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.0346666666666957,9800.000000000182
35,2024-09-03 09:45:00,SWEEP_bullish,buy,2496.4,2496.2000000000003,2496.8,2496.2000000000003,2024-09-03 09:50:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.4620000000000497,9800.000000000182
36,2024-09-03 11:05:00,SWEEP_bullish,buy,2501.38,2501.1800000000003,2501.78,2501.1800000000003,2024-09-03 11:10:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.5046666666666473,9800.000000000182
37,2024-09-03 13:40:00,SWEEP_bearish,sell,2494.78,2494.98,2494.38,2494.98,2024-09-03 13:45:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.474000000000069,9800.000000000182
38,2024-09-03 14:55:00,SWEEP_bearish,sell,2489.93,2490.1299999999997,2489.5299999999997,2490.1299999999997,2024-09-03 15:00:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.502666666666725,9800.000000000182
39,2024-09-04 09:50:00,SWEEP_bearish,sell,2485.19,2485.39,2484.79,2485.39,2024-09-04 09:55:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.7179999999999989,9800.000000000182
40,2024-09-04 11:00:00,SWEEP_bearish,sell,2483.11,2483.31,2482.71,2482.71,2024-09-04 11:05:00,win,2.0,400.000000000091,0.40000000000009095,0.01,2.1293333333333675,10400.000000000091
41,2024-09-04 11:20:00,SWEEP_bearish,sell,2480.5,2480.7,2480.1,2480.7,2024-09-04 11:25:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.0206666666667235,9800.000000000182
42,2024-09-04 11:25:00,SWEEP_bearish,sell,2480.8,2481.0,2480.4,2481.0,2024-09-04 11:30:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.046666666666685,9800.000000000182
43,2024-09-04 13:10:00,SWEEP_bullish,buy,2482.95,2482.75,2483.35,2482.75,2024-09-04 13:15:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.19399999999999,9800.000000000182
44,2024-09-04 14:30:00,SWEEP_bullish,buy,2488.34,2488.1400000000003,2488.7400000000002,2488.1400000000003,2024-09-04 14:35:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.0220000000000558,9800.000000000182
45,2024-09-04 15:30:00,SWEEP_bearish,sell,2487.2,2487.3999999999996,2486.7999999999997,2487.3999999999996,2024-09-04 15:35:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.7553333333333285,9800.000000000182
46,2024-09-04 16:00:00,SWEEP_bearish,sell,2488.18,2488.3799999999997,2487.7799999999997,2488.3799999999997,2024-09-04 16:05:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.0753333333333104,9800.000000000182
47,2024-09-04 16:30:00,SWEEP_bearish,sell,2488.9,2489.1,2488.5,2489.1,2024-09-04 16:35:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.4586666666666437,9800.000000000182
48,2024-09-05 09:30:00,SWEEP_bullish,buy,2504.23,2504.03,2504.63,2504.03,2024-09-05 09:35:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.8566666666667213,9800.000000000182
49,2024-09-06 08:20:00,SWEEP_bullish,buy,2520.1,2519.9,2520.5,2520.5,2024-09-06 08:25:00,win,2.0,400.000000000091,0.40000000000009095,0.01,0.7199999999999818,10400.000000000091
50,2024-09-06 08:30:00,SWEEP_bullish,buy,2519.94,2519.7400000000002,2520.34,2520.34,2024-09-06 08:35:00,win,2.0,400.000000000091,0.40000000000009095,0.01,0.7979999999999866,10400.000000000091
51,2024-09-06 14:20:00,SWEEP_bullish,buy,2519.55,2519.3500000000004,2519.9500000000003,2519.3500000000004,2024-09-06 14:25:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.13733333333336,9800.000000000182
52,2024-09-06 14:25:00,SWEEP_bullish,buy,2518.39,2518.19,2518.79,2518.19,2024-09-06 14:30:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.159333333333355,9800.000000000182
53,2024-09-06 15:15:00,SWEEP_bearish,sell,2514.16,2514.3599999999997,2513.7599999999998,2514.3599999999997,2024-09-06 15:20:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.3593333333332944,9800.000000000182
54,2024-09-06 15:30:00,SWEEP_bearish,sell,2524.25,2524.45,2523.85,2524.45,2024-09-06 15:35:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.8406666666666447,9800.000000000182
55,2024-09-09 09:00:00,SWEEP_bearish,sell,2489.54,2489.74,2489.14,2489.74,2024-09-09 09:05:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.4313333333333502,9800.000000000182
56,2024-09-09 09:30:00,SWEEP_bearish,sell,2489.23,2489.43,2488.83,2489.43,2024-09-09 09:35:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.0013333333333323,9800.000000000182
57,2024-09-09 13:10:00,SWEEP_bullish,buy,2496.41,2496.21,2496.81,2496.21,2024-09-09 13:15:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.3480000000000474,9800.000000000182
58,2024-09-09 16:15:00,SWEEP_bullish,buy,2502.79,2502.59,2503.19,2502.59,2024-09-09 16:20:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.919333333333331,9800.000000000182
59,2024-09-10 08:05:00,SWEEP_bearish,sell,2501.18,2501.3799999999997,2500.7799999999997,2501.3799999999997,2024-09-10 08:10:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,0.6686666666666496,9800.000000000182
60,2024-09-10 09:15:00,SWEEP_bullish,buy,2505.31,2505.11,2505.71,2505.11,2024-09-10 09:20:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.1059999999999794,9800.000000000182
61,2024-09-10 11:05:00,SWEEP_bearish,sell,2502.11,2502.31,2501.71,2502.31,2024-09-10 11:10:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.4580000000000837,9800.000000000182
62,2024-09-10 13:20:00,SWEEP_bullish,buy,2508.27,2508.07,2508.67,2508.07,2024-09-10 13:25:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.2159999999999855,9800.000000000182
63,2024-09-10 15:45:00,SWEEP_bullish,buy,2509.85,2509.65,2510.25,2509.65,2024-09-10 15:50:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.259333333333234,9800.000000000182
64,2024-09-10 16:00:00,SWEEP_bullish,buy,2512.9,2512.7000000000003,2513.3,2512.7000000000003,2024-09-10 16:05:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.5759999999999308,9800.000000000182
65,2024-09-11 08:25:00,SWEEP_bullish,buy,2521.08,2520.88,2521.48,2520.88,2024-09-11 08:30:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,0.8186666666667103,9800.000000000182
66,2024-09-11 09:40:00,SWEEP_bullish,buy,2524.85,2524.65,2525.25,2525.25,2024-09-11 09:45:00,win,2.0,400.000000000091,0.40000000000009095,0.01,1.7846666666667261,10400.000000000091
67,2024-09-11 11:00:00,SWEEP_bearish,sell,2523.02,2523.22,2522.62,2523.22,2024-09-11 11:05:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.3926666666665974,9800.000000000182
68,2024-09-11 13:05:00,SWEEP_bearish,sell,2521.88,2522.08,2521.48,2522.08,2024-09-11 13:10:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.1306666666666085,9800.000000000182
69,2024-09-11 13:25:00,SWEEP_bearish,sell,2520.91,2521.1099999999997,2520.5099999999998,2521.1099999999997,2024-09-11 13:30:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.1819999999999407,9800.000000000182
70,2024-09-11 14:50:00,SWEEP_bullish,buy,2523.04,2522.84,2523.44,2522.84,2024-09-11 14:55:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.3586666666667648,9800.000000000182
71,2024-09-11 15:45:00,SWEEP_bearish,sell,2507.56,2507.7599999999998,2507.16,2507.16,2024-09-11 15:50:00,win,2.0,400.000000000091,0.40000000000009095,0.01,3.1746666666666896,10400.000000000091
72,2024-09-12 08:15:00,SWEEP_bullish,buy,2518.15,2517.9500000000003,2518.55,2517.9500000000003,2024-09-12 08:20:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,0.6366666666666485,9800.000000000182
73,2024-09-12 09:10:00,SWEEP_bullish,buy,2520.65,2520.4500000000003,2521.05,2520.4500000000003,2024-09-12 09:15:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,0.9733333333333273,9800.000000000182
74,2024-09-12 10:25:00,SWEEP_bearish,sell,2515.84,2516.04,2515.44,2516.04,2024-09-12 10:30:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.1933333333334,9800.000000000182
75,2024-09-12 13:15:00,SWEEP_bullish,buy,2519.83,2519.63,2520.23,2519.63,2024-09-12 13:20:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.047333333333275,9800.000000000182
76,2024-09-12 14:00:00,SWEEP_bearish,sell,2513.9,2514.1,2513.5,2514.1,2024-09-12 14:05:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.2373333333332994,9800.000000000182
2,2024-09-12 15:10:00,FVG_bearish,sell,2519.62,2519.8199999999997,2519.22,2519.8199999999997,2024-09-12 15:15:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.4780000000000049,9800.000000000182
77,2024-09-12 15:50:00,SWEEP_bullish,buy,2532.81,2532.61,2533.21,2532.61,2024-09-12 15:55:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.641333333333326,9800.000000000182
78,2024-09-12 16:10:00,SWEEP_bullish,buy,2537.99,2537.79,2538.39,2537.79,2024-09-12 16:15:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,4.3319999999999705,9800.000000000182
79,2024-09-12 16:45:00,SWEEP_bullish,buy,2546.57,2546.3700000000003,2546.9700000000003,2546.3700000000003,2024-09-12 16:50:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,5.846666666666624,9800.000000000182
80,2024-09-13 09:00:00,SWEEP_bearish,sell,2566.56,2566.7599999999998,2566.16,2566.16,2024-09-13 09:05:00,win,2.0,400.000000000091,0.40000000000009095,0.01,1.3320000000000012,10400.000000000091
81,2024-09-13 09:15:00,SWEEP_bearish,sell,2564.31,2564.5099999999998,2563.91,2564.5099999999998,2024-09-13 09:20:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.5353333333333468,9800.000000000182
82,2024-09-13 10:50:00,SWEEP_bullish,buy,2569.59,2569.3900000000003,2569.9900000000002,2569.3900000000003,2024-09-13 10:55:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.178000000000005,9800.000000000182
83,2024-09-13 13:20:00,SWEEP_bearish,sell,2566.71,2566.91,2566.31,2566.91,2024-09-13 13:25:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.7599999999999758,9800.000000000182
84,2024-09-13 13:50:00,SWEEP_bearish,sell,2566.35,2566.5499999999997,2565.95,2566.5499999999997,2024-09-13 13:55:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.5099999999999758,9800.000000000182
85,2024-09-13 16:00:00,SWEEP_bullish,buy,2574.62,2574.42,2575.02,2574.42,2024-09-13 16:05:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.793333333333309,9800.000000000182
86,2024-09-13 16:25:00,SWEEP_bullish,buy,2577.01,2576.8100000000004,2577.4100000000003,2576.8100000000004,2024-09-13 16:30:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.4326666666666523,9800.000000000182
87,2024-09-16 09:00:00,SWEEP_bullish,buy,2588.21,2588.01,2588.61,2588.01,2024-09-16 09:05:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.0379999999999805,9800.000000000182
88,2024-09-16 10:20:00,SWEEP_bearish,sell,2582.08,2582.2799999999997,2581.68,2582.2799999999997,2024-09-16 10:25:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.733333333333303,9800.000000000182
89,2024-09-16 11:40:00,SWEEP_bullish,buy,2586.98,2586.78,2587.38,2586.78,2024-09-16 11:45:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.6393333333332825,9800.000000000182
90,2024-09-16 16:15:00,SWEEP_bullish,buy,2584.36,2584.1600000000003,2584.76,2584.1600000000003,2024-09-16 16:20:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.9959999999999734,9800.000000000182
91,2024-09-16 16:35:00,SWEEP_bullish,buy,2584.43,2584.23,2584.83,2584.23,2024-09-16 16:40:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.1266666666666727,9800.000000000182
92,2024-09-16 16:55:00,SWEEP_bullish,buy,2587.98,2587.78,2588.38,2587.78,2024-09-16 17:00:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,2.232000000000062,9800.000000000182
93,2024-09-17 08:15:00,SWEEP_bearish,sell,2575.69,2575.89,2575.29,2575.89,2024-09-17 08:20:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.3613333333333686,9800.000000000182
94,2024-09-17 09:05:00,SWEEP_bullish,buy,2581.09,2580.8900000000003,2581.4900000000002,2580.8900000000003,2024-09-17 09:10:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.2579999999999927,9800.000000000182
95,2024-09-17 09:45:00,SWEEP_bullish,buy,2585.16,2584.96,2585.56,2584.96,2024-09-17 09:50:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.4773333333333842,9800.000000000182
96,2024-09-17 11:05:00,SWEEP_bearish,sell,2582.71,2582.91,2582.31,2582.91,2024-09-17 11:10:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.2873333333333903,9800.000000000182
97,2024-09-17 11:30:00,SWEEP_bearish,sell,2582.2,2582.3999999999996,2581.7999999999997,2582.3999999999996,2024-09-17 11:35:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.3953333333334135,9800.000000000182
98,2024-09-17 13:40:00,SWEEP_bearish,sell,2571.54,2571.74,2571.14,2571.14,2024-09-17 13:45:00,win,2.0,400.000000000091,0.40000000000009095,0.01,1.883333333333303,10400.000000000091
99,2024-09-17 14:45:00,SWEEP_bullish,buy,2578.74,2578.54,2579.14,2578.54,2024-09-17 14:50:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.7786666666667164,9800.000000000182
100,2024-09-17 15:15:00,SWEEP_bullish,buy,2579.69,2579.4900000000002,2580.09,2579.4900000000002,2024-09-17 15:20:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.8606666666666873,9800.000000000182
101,2024-09-18 08:25:00,SWEEP_bearish,sell,2566.76,2566.96,2566.36,2566.96,2024-09-18 08:30:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.1953333333334133,9800.000000000182
102,2024-09-18 09:40:00,SWEEP_bullish,buy,2568.27,2568.07,2568.67,2568.67,2024-09-18 09:45:00,win,2.0,400.000000000091,0.40000000000009095,0.01,1.2346666666667867,10400.000000000091
103,2024-09-18 11:40:00,SWEEP_bearish,sell,2569.19,2569.39,2568.79,2569.39,2024-09-18 11:45:00,loss,2.0,-199.99999999981813,-0.1999999999998181,0.01,1.1840000000000448,9800.000000000182
