Time,Symbol,Timeframe,Action,Entry Price,Exit Price,PnL,Drawdown,Bias
2024-11-19 06:45:00-05:00,XAUUSD,15min,buy,2629.31,2633.18,3.87,-0.61,bullish
2024-11-19 09:45:00-05:00,XAUUSD,15min,buy,2633.18,2629.11,-4.07,-12.28,bullish
2024-11-19 16:30:00-05:00,XAUUSD,15min,buy,2629.11,2626.4,-2.71,-10.33,bullish
2024-11-20 09:15:00-05:00,XAUUSD,15min,buy,2626.4,2632.86,6.46,0.56,bullish
2024-11-20 10:45:00-05:00,XAUUSD,15min,buy,2632.86,2649.15,16.29,1.1,bullish
2024-11-20 16:30:00-05:00,XAUUSD,15min,sell,2649.15,2662.22,-13.07,-15.41,bearish
2024-11-21 04:45:00-05:00,XAUUSD,15min,buy,2662.22,2665.36,3.14,-0.26,bullish
2024-11-21 05:45:00-05:00,XAUUSD,15min,buy,2665.36,2667.95,2.59,-4.88,bullish
2024-11-21 16:45:00-05:00,XAUUSD,15min,buy,2667.95,2689.6,21.65,0.13,bullish
2024-11-22 04:15:00-05:00,XAUUSD,15min,buy,2689.6,2699.38,9.78,2.69,bullish
2024-11-22 07:00:00-05:00,XAUUSD,15min,buy,2699.38,2701.12,1.74,-14.91,bullish
2024-11-22 12:45:00-05:00,XAUUSD,15min,sell,2701.12,2700.32,0.8,-5.18,bearish
2024-11-22 13:00:00-05:00,XAUUSD,15min,buy,2700.32,2704.72,4.4,0.8,bullish
2024-11-22 14:45:00-05:00,XAUUSD,15min,buy,2704.72,2707.57,2.85,1.85,bullish
2024-11-22 16:30:00-05:00,XAUUSD,15min,buy,2707.57,2675.45,-32.12,-49.46,bullish
2024-11-25 09:15:00-05:00,XAUUSD,15min,buy,2680.08,2624.93,-55.15,-64.49,bullish
2024-11-25 16:30:00-05:00,XAUUSD,15min,sell,2622.35,2626.95,-4.6,-10.99,bearish
2024-11-26 08:00:00-05:00,XAUUSD,15min,buy,2626.95,2627.07,0.12,-10.29,bullish
2024-11-26 12:30:00-05:00,XAUUSD,15min,sell,2627.07,2627.95,-0.88,-5.78,bearish
2024-11-26 17:00:00-05:00,XAUUSD,15min,sell,2627.95,2645.05,-17.1,-20.44,bearish
2024-11-27 05:00:00-05:00,XAUUSD,15min,buy,2645.05,2652.17,7.12,-1.74,bullish
2024-11-27 10:45:00-05:00,XAUUSD,15min,buy,2652.17,2651.24,-0.93,-3.07,bullish
2024-11-27 11:30:00-05:00,XAUUSD,15min,buy,2651.24,2637.42,-13.82,-17.48,bullish
2024-11-27 17:15:00-05:00,XAUUSD,15min,sell,2637.42,2639.87,-2.45,-12.05,bearish
2024-11-28 13:30:00-05:00,XAUUSD,15min,sell,2639.87,2656.91,-17.04,-26.24,bearish
2024-11-29 14:15:00-05:00,XAUUSD,15min,buy,2656.91,2658.97,2.06,0.56,bullish
2024-11-29 15:00:00-05:00,XAUUSD,15min,buy,2658.97,2632.53,-26.44,-37.08,bullish
2024-12-02 06:45:00-05:00,XAUUSD,15min,buy,2632.53,2637.79,5.26,0.9,bullish
2024-12-02 08:30:00-05:00,XAUUSD,15min,buy,2637.79,2642.12,4.33,-0.53,bullish
2024-12-02 11:45:00-05:00,XAUUSD,15min,buy,2642.12,2643.43,1.31,-8.69,bullish
2024-12-03 04:30:00-05:00,XAUUSD,15min,buy,2643.43,2643.3,-0.13,-4.11,bullish
2024-12-03 06:45:00-05:00,XAUUSD,15min,buy,2643.3,2643.86,0.56,-8.1,bullish
2024-12-03 13:45:00-05:00,XAUUSD,15min,sell,2643.86,2642.67,1.19,-5.3,bearish
2024-12-03 18:30:00-05:00,XAUUSD,15min,sell,2642.67,2643.57,-0.9,-8.64,bearish
2024-12-04 08:45:00-05:00,XAUUSD,15min,buy,2643.57,2650.7,7.13,-11.22,bullish
2024-12-04 16:45:00-05:00,XAUUSD,15min,buy,2650.7,2646.35,-4.35,-8.8,bullish
2024-12-05 10:15:00-05:00,XAUUSD,15min,buy,2646.35,2638.27,-8.08,-32.73,bullish
2024-12-06 05:15:00-05:00,XAUUSD,15min,buy,2638.27,2640.7,2.43,-0.54,bullish
2024-12-06 06:15:00-05:00,XAUUSD,15min,buy,2640.7,2636.61,-4.09,-8.31,bullish
2024-12-06 08:45:00-05:00,XAUUSD,15min,sell,2636.61,2645.76,-9.15,-14.59,bearish
2024-12-09 05:30:00-05:00,XAUUSD,15min,buy,2645.76,2655.04,9.28,1.26,bullish
