,trade_id,signal_time,entry_fill_time,exit_time,type,position,entry,sl,tp,exit_price,result,highest_point,lowest_point,rr_ratio,pnl,pnl_points,lot_size,initial_balance_for_trade,balance_after_trade
0,1,2024-11-04 15:15:00+00:00,2024-11-04 15:20:00+00:00,,FVG_bullish,buy,20046.625,20028.22714,20101.81857,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
1,2,2024-11-05 10:35:00+00:00,2024-11-05 10:40:00+00:00,,FVG_bearish,sell,20007.995,20018.73714,19975.76857,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
2,3,2024-11-05 19:50:00+00:00,2024-11-05 19:55:00+00:00,,FVG_bearish,sell,20240.655,20259.47643,20184.19071,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
3,4,2024-11-06 17:20:00+00:00,2024-11-06 17:25:00+00:00,,FVG_bearish,sell,20637.69,20689.26714,20482.95857,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
4,5,2024-11-06 18:15:00+00:00,2024-11-06 18:20:00+00:00,,FVG_bearish,sell,20618.81,20657.92357,20501.46929,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
5,6,2024-11-07 15:50:00+00:00,2024-11-07 15:55:00+00:00,,FVG_bearish,sell,20864.395,20877.44071,20825.25786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
6,7,2024-11-07 15:50:00+00:00,2024-11-07 15:55:00+00:00,,FVG_bearish,sell,20864.395,20877.44071,20825.25786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
7,8,2024-11-07 17:50:00+00:00,2024-11-07 17:55:00+00:00,,FVG_bearish,sell,21012.52,21037.70143,20936.97571,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
8,9,2024-11-07 21:35:00+00:00,2024-11-07 21:40:00+00:00,,FVG_bearish,sell,21076.945,21097.23,21016.09,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
9,10,2024-11-11 11:20:00+00:00,2024-11-11 11:25:00+00:00,,FVG_bearish,sell,21185.415,21197.49786,21149.16643,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
10,11,2024-11-11 11:20:00+00:00,2024-11-11 11:25:00+00:00,,FVG_bearish,sell,21185.415,21197.49786,21149.16643,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
11,12,2024-11-13 04:35:00+00:00,2024-11-13 04:40:00+00:00,,FVG_bullish,buy,21029.8,21022.41,21051.97,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
12,13,2024-11-13 08:15:00+00:00,2024-11-13 08:20:00+00:00,,FVG_bullish,buy,21007.18,20999.34714,21030.67857,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
13,14,2024-11-14 04:50:00+00:00,2024-11-14 04:55:00+00:00,,FVG_bullish,buy,21017.33,21009.30214,21041.41357,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
14,15,2024-11-14 09:05:00+00:00,2024-11-14 09:10:00+00:00,,FVG_bullish,buy,20989.455,20981.73071,21012.62786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
15,16,2024-11-14 17:20:00+00:00,2024-11-14 17:25:00+00:00,,FVG_bullish,buy,20973.245,20940.09071,21072.70786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
16,17,2024-11-14 17:20:00+00:00,2024-11-14 17:25:00+00:00,,FVG_bullish,buy,20973.245,20940.09071,21072.70786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
17,18,2024-11-14 18:00:00+00:00,2024-11-14 18:05:00+00:00,,FVG_bullish,buy,21006.765,20975.46786,21100.65643,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
18,19,2024-11-15 11:50:00+00:00,2024-11-15 11:55:00+00:00,,FVG_bullish,buy,20721.725,20709.80643,20757.48071,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
19,20,2024-11-15 11:50:00+00:00,2024-11-15 11:55:00+00:00,,FVG_bullish,buy,20721.725,20709.80643,20757.48071,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
20,21,2024-11-15 19:55:00+00:00,2024-11-15 20:00:00+00:00,,FVG_bullish,buy,20396.255,20370.91786,20472.26643,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
